date,who,what,detail
2026-05-20,Mamka+Taťka,Termín potvrzen,29. 8. 2026 — Nová radnice Ostrava 11:15
2026-05-20,Mamka+Taťka,Radnice potvrzena,Podána žádost — Nová radnice Ostrava
2026-05-20,Mamka,Děti informovány,Všechny 4 dcery oznámení
2026-05-20,Mamka,Svědkyně potvrzeny,Kikinka za Mamku; Žanetka za Taťku
2026-05-20,Mamka,Oddávající domluven,Kikinka → Mamka; 11:15 Nová radnice
2026-05-21,Žanetka,Koliba U Zlatého Jarouše potvrzena,Osobní návštěva u Miloše; Karasova 1130/23
2026-05-25,Mamka+Taťka+Žanetka,Schůzka prstýnky,Prstýnky vyhlédnuty — objednat a vyzvednout
2026-05-27,Taťka,Web spuštěn,v1 na GitHub Pages — doma77git.github.io/PaprckoviSvatba2026
2026-06-02,Taťka,Redesign + CSV migrace,Nový romantický design; data přemigrována do CSV; planner.html pro Žanetku
2026-07-03,Mamka,Prstýnky vyzvednuty,T009 hotovo — vyzvednuto
2026-07-04,Žanetka,Rozlučka se svobodou — termín potvrzen,T010 přeloženo na 24. 7. 2026
2026-07-04,Mamka,Svatební šaty hotovo,T013 dokončeno — výběr; nákup; úpravy
2026-07-04,Mamka+Taťka,Úkoly zrušeny,T028 Drobnosti pro hosty; T029 Proslovy svědků; T032 Confetti a prskavky — rozhodnuto nedělat; B017 (500 Kč) odebráno z rozpočtu
2026-07-04,Mamka+Taťka,Úkoly zrušeny,T016 Dárky pro svědky; T025 Dárky na přivítanou pro hosty — rozhodnuto nedělat; B012 (500 Kč) odebráno z rozpočtu
2026-07-05,Mamka+Taťka,Rozpočet zrušen,B008 Ubytování pro hosty (5000 Kč); B009 Dekorace a květiny na radnici (3000 Kč) — rozhodnuto nedělat; T017 zrušen
2026-07-05,Mamka,Svatební oznámení — tisk hotovo,T011 tisk dokončen; zbývá rozeslat hostům + RSVP
2026-07-05,Žanetka,Rozlučka se svobodou — ubytování zrušeno,T010 poznámka upravena — ubytování pro hosty z Brna u Žanetky se řešit nebude
2026-07-29,Taťka,Oblek hotovo,T008 done — oblek koupen; 10 000 Kč
2026-07-29,Žanetka,Rozlučka proběhla,T010 done — proběhla 24. 7. 2026
2026-08-16,Taťka,Oprava počtu hostů,T007 poznámka opravena — dle guests.csv je 17 osob (bylo 25)
2026-08-16,Taťka,Přidán host,Bernie přidán do guests.csv (společní, 2 osoby, nepotvrzeno)
2026-08-16,Taťka,Bernie potvrzen,Bernie (společní, 2 osoby) potvrzen
2026-08-16,Taťka,Přidáni hosté,Mamka (1) a Žanetka (1) přidány do guests.csv — potvrzeny; Děti a Bernie potvrzeni
2026-08-16,Taťka,Přidáni hosté,Taťka (1, tatka) a Kikinka (1, mamka) přidány do guests.csv — rodina kompletně započítána; celkem 23 hostů (17 potvrzeno)
2026-08-16,Taťka,Strana hostů,Kikinka přesunuta ze strany mamka na spolecni (Žanetka už byla spolecni)
2026-08-16,Taťka,Hosté Děti,Kikinka patří do Děti (samostatný řádek odstraněn); Děti = 4 dcery (Kikinka; Natálka; Kačka; Gabriela) + samostatné +1 pro Kikinku a Natálku
